institution,period,city,segment,metric_name,value,unit,comparison_type,comparison_value,is_forecast,source_url,source_quote
中指院,2026-03,广州,secondary_home,mom_change_pct,-0.30,pct,mom,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,广州         | -0.30% | -8.80%  |              33183 |               29419 |
中指院,2026-03,广州,secondary_home,yoy_change_pct,-8.80,pct,yoy,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,广州         | -0.30% | -8.80%  |              33183 |               29419 |
中指院,2026-03,广州,secondary_home,avg_price,33183,CNY_per_sqm,,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,广州         | -0.30% | -8.80%  |              33183 |               29419 |
中指院,2026-03,深圳,secondary_home,mom_change_pct,-0.16,pct,mom,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,深圳         | -0.16% | -6.08%  |              63478 |               56495 |
中指院,2026-03,深圳,secondary_home,yoy_change_pct,-6.08,pct,yoy,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,深圳         | -0.16% | -6.08%  |              63478 |               56495 |
中指院,2026-03,深圳,secondary_home,avg_price,63478,CNY_per_sqm,,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,深圳         | -0.16% | -6.08%  |              63478 |               56495 |
中指院,2026-03,杭州,secondary_home,mom_change_pct,-0.58,pct,mom,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,杭州         | -0.58% | -6.14%  |              32377 |               28782 |
中指院,2026-03,杭州,secondary_home,yoy_change_pct,-6.14,pct,yoy,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,杭州         | -0.58% | -6.14%  |              32377 |               28782 |
中指院,2026-03,杭州,secondary_home,avg_price,32377,CNY_per_sqm,,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,杭州         | -0.58% | -6.14%  |              32377 |               28782 |
中指院,2026-03,北京,new_home,mom_change_pct,0.14,pct,mom,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,北京         | 0.14%  | 2.25%  |              47115 |               56000 |
中指院,2026-03,北京,new_home,yoy_change_pct,2.25,pct,yoy,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,北京         | 0.14%  | 2.25%  |              47115 |               56000 |
中指院,2026-03,北京,new_home,avg_price,47115,CNY_per_sqm,,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,北京         | 0.14%  | 2.25%  |              47115 |               56000 |
中指院,2026-03,上海,new_home,mom_change_pct,0.33,pct,mom,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,上海         | 0.33%  | 9.72%  |              63185 |               57481 |
中指院,2026-03,上海,new_home,yoy_change_pct,9.72,pct,yoy,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,上海         | 0.33%  | 9.72%  |              63185 |               57481 |
中指院,2026-03,上海,new_home,avg_price,63185,CNY_per_sqm,,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,上海         | 0.33%  | 9.72%  |              63185 |               57481 |
中指院,2026-03,广州,new_home,mom_change_pct,0.19,pct,mom,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,广州         | 0.19%  | 1.56%  |              25130 |               27000 |
中指院,2026-03,广州,new_home,yoy_change_pct,1.56,pct,yoy,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,广州         | 0.19%  | 1.56%  |              25130 |               27000 |
中指院,2026-03,广州,new_home,avg_price,25130,CNY_per_sqm,,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,广州         | 0.19%  | 1.56%  |              25130 |               27000 |
中指院,2026-03,深圳,new_home,mom_change_pct,0.01,pct,mom,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,深圳         | 0.01%  | 0.55%  |              52993 |               48744 |
中指院,2026-03,深圳,new_home,yoy_change_pct,0.55,pct,yoy,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,深圳         | 0.01%  | 0.55%  |              52993 |               48744 |
中指院,2026-03,深圳,new_home,avg_price,52993,CNY_per_sqm,,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,深圳         | 0.01%  | 0.55%  |              52993 |               48744 |
中指院,2026-03,杭州,new_home,mom_change_pct,0.34,pct,mom,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,杭州         | 0.34%  | 9.38%  |              33592 |               30510 |
中指院,2026-03,杭州,new_home,yoy_change_pct,9.38,pct,yoy,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,杭州         | 0.34%  | 9.38%  |              33592 |               30510 |
中指院,2026-03,杭州,new_home,avg_price,33592,CNY_per_sqm,,,0,中国房地产指数系统百城价格指数报告（2026年3月）.pdf,杭州         | 0.34%  | 9.38%  |              33592 |               30510 |
